City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
69,Khatanga,RU,71.9667,102.5,-35.27,100,60,3.44,broken clouds
70,Esperance,AU,-33.8667,121.9,64.76,76,1,15.14,clear sky
71,Koumac,NC,-20.5667,164.2833,79.95,88,100,5.73,light rain
72,Hobart,AU,-42.8794,147.3294,58.26,86,75,5.75,broken clouds
73,Rorvik,NO,64.8621,11.2373,37.38,60,75,14.97,broken clouds
74,New Norfolk,AU,-42.7826,147.0587,57.92,75,49,1.79,scattered clouds
75,Vaini,TO,-21.2,-175.2,75.36,100,100,8.05,light rain
76,Aden,YE,12.7794,45.0367,77.72,55,16,4.09,few clouds
77,Aklavik,CA,68.2191,-135.0107,-23.08,97,19,16.33,few clouds
78,Yellowknife,CA,62.456,-114.3525,-26.59,85,100,3.89,overcast clouds
79,Ilulissat,GL,69.2167,-51.1,15.82,73,100,17.27,overcast clouds
80,Olafsvik,IS,64.8945,-23.7142,28.13,71,100,16.35,overcast clouds
81,Geraldton,AU,-28.7667,114.6,72.01,53,0,3.44,clear sky
82,Dunedin,NZ,-45.8742,170.5036,52.81,85,100,7.0,overcast clouds
83,Lucea,JM,18.451,-78.1736,82.26,72,14,17.63,few clouds
84,Kavaratti,IN,10.5669,72.642,78.91,62,100,10.54,overcast clouds
85,Magugu,TZ,-4.0167,35.7667,70.66,58,100,3.8,overcast clouds
86,Pacific Grove,US,36.6177,-121.9166,64.63,54,0,3.0,clear sky
87,Butaritari,KI,3.0707,172.7902,82.51,73,14,19.1,few clouds
88,Butterworth,MY,5.3991,100.3638,80.01,90,20,0.0,few clouds
89,Marawi,PH,7.9986,124.2928,64.65,92,100,2.42,overcast clouds
90,Mahebourg,MU,-20.4081,57.7,80.26,85,100,17.83,light rain
91,Vanimo,PG,-2.6741,141.3028,76.87,87,72,4.29,broken clouds
92,Sioux Lookout,CA,50.1001,-91.917,1.9,78,90,4.45,overcast clouds
