City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
58,Carnarvon,AU,2022-02-02 22:19:01,-24.8667,113.6333,77.07,88,75,11.5
59,Dandeli,IN,2022-02-02 22:19:02,15.2667,74.6167,62.47,87,0,2.39
60,Nagtipunan,PH,2022-02-02 22:19:02,16.2167,121.6,66.02,96,57,0.72
61,Mehamn,NO,2022-02-02 22:19:02,71.0357,27.8492,17.51,73,100,9.48
62,Bambous Virieux,MU,2022-02-02 22:19:03,-20.3428,57.7575,79.21,94,75,31.07
63,Ponta Do Sol,PT,2022-02-02 22:19:03,32.6667,-17.1,67.01,79,100,6.08
64,Chuy,UY,2022-02-02 22:19:04,-33.6971,-53.4616,74.48,74,0,13.22
65,Porto San Giorgio,IT,2022-02-02 22:19:04,43.1827,13.7934,48.11,70,0,2.59
66,Edson,CA,2022-02-02 22:19:04,53.5835,-116.4356,-5.66,64,75,0.0
67,Alyangula,AU,2022-02-02 22:19:05,-13.8483,136.4192,81.73,77,100,16.44
68,Wawa,NG,2022-02-02 22:19:05,9.9022,4.4192,76.98,17,86,6.49
69,Ixtapa,MX,2022-02-02 22:19:05,20.7,-105.2,74.43,64,0,10.36
70,Atuona,PF,2022-02-02 22:15:31,-9.8,-139.0333,77.59,77,92,15.05
71,Salalah,OM,2022-02-02 22:14:11,17.0151,54.0924,78.89,21,0,10.36
72,Okha,RU,2022-02-02 22:19:06,53.5739,142.9478,1.56,93,100,26.82
73,Posse,BR,2022-02-02 22:19:06,-14.0931,-46.3694,73.89,74,91,1.52
74,Kruisfontein,ZA,2022-02-02 22:19:07,-34.0033,24.7314,68.88,92,100,6.93
75,New Norfolk,AU,2022-02-02 22:19:07,-42.7826,147.0587,59.72,68,68,4.21
76,Arraial Do Cabo,BR,2022-02-02 22:19:07,-22.9661,-42.0278,76.96,94,75,3.44
77,Tortoli,IT,2022-02-02 22:19:08,39.9256,9.6572,52.83,67,0,3.89
78,Vila Velha,BR,2022-02-02 22:19:08,-20.3297,-40.2925,80.55,82,0,4.61
79,Souillac,MU,2022-02-02 22:14:57,-20.5167,57.5167,79.36,94,75,31.07
80,Nhulunbuy,AU,2022-02-02 22:19:09,-12.2333,136.7667,83.01,83,100,9.22
81,Mount Isa,AU,2022-02-02 22:19:09,-20.7333,139.5,80.37,83,100,6.91
82,Isangel,VU,2022-02-02 22:16:08,-19.55,169.2667,86.11,84,75,3.44
83,Camacha,PT,2022-02-02 22:19:09,33.0833,-16.3333,63.54,94,40,8.05
84,Tamale,GH,2022-02-02 22:15:41,9.4008,-0.8393,77.31,10,28,7.2
85,Aswan,EG,2022-02-02 22:19:10,24.0934,32.907,60.48,38,0,6.31
86,Veraval,IN,2022-02-02 22:19:10,20.9,70.3667,71.38,79,2,10.51
87,Puerto Ayora,EC,2022-02-02 22:17:58,-0.7393,-90.3518,82.36,90,37,7.0
88,Talnakh,RU,2022-02-02 22:19:11,69.4865,88.3972,-6.12,99,93,6.29
89,Karratha,AU,2022-02-02 22:19:11,-20.7377,116.8463,81.25,73,100,6.24
90,Ornskoldsvik,SE,2022-02-02 22:19:12,63.2909,18.7153,9.55,92,100,3.44
91,Suriapet,IN,2022-02-02 22:19:12,17.15,79.6167,65.32,84,3,6.26
92,Moron,AR,2022-02-02 22:15:20,-34.6534,-58.6198,88.0,52,64,9.6
93,Luderitz,NA,2022-02-02 22:20:12,-26.6481,15.1594,68.27,78,68,1.77
94,Whitehorse,CA,2022-02-02 22:16:22,60.7161,-135.0538,-3.98,71,75,8.05
95,Nanortalik,GL,2022-02-02 22:20:13,60.1432,-45.2371,6.84,67,29,7.96
96,Sao Gabriel Da Cachoeira,BR,2022-02-02 22:20:13,-0.1303,-67.0892,75.56,94,90,2.19
97,Margate,GB,2022-02-02 22:19:28,51.3813,1.3862,47.95,84,100,4.0
98,Sobolevo,RU,2022-02-02 22:20:14,54.4299,31.8996,24.35,96,100,8.46
99,Severo-Kurilsk,RU,2022-02-02 22:20:14,50.6789,156.125,27.99,79,98,6.62
100,Smithers,CA,2022-02-02 22:20:14,54.7804,-127.1743,12.52,79,75,0.0
101,Blagoyevo,RU,2022-02-02 22:20:15,63.3667,47.9167,19.2,97,100,3.51
102,Te Anau,NZ,2022-02-02 22:20:15,-45.4167,167.7167,60.03,88,100,2.89
103,Cape Town,ZA,2022-02-02 22:18:02,-33.9258,18.4232,66.11,88,40,3.0
104,Ypsonas,CY,2022-02-02 22:20:15,34.6884,32.9574,59.29,82,75,3.44
105,Kodiak,US,2022-02-02 22:17:40,57.79,-152.4072,36.91,93,100,0.0
106,Ambon,ID,2022-02-02 22:20:16,-3.6954,128.1814,75.34,88,20,3.44
107,Hasaki,JP,2022-02-02 22:20:16,35.7333,140.8333,23.4,50,36,10.02
108,Jalu,LY,2022-02-02 22:20:16,29.0331,21.5482,53.26,58,51,13.51
109,Buala,SB,2022-02-02 22:15:23,-8.145,159.5921,81.79,79,100,7.63
110,Cidreira,BR,2022-02-02 22:20:17,-30.1811,-50.2056,75.97,84,0,17.74
111,Waimana,NZ,2022-02-02 22:20:17,-38.15,177.0833,73.33,89,100,7.07
112,Rawson,AR,2022-02-02 22:20:18,-43.3002,-65.1023,75.29,38,100,10.8
113,Srednekolymsk,RU,2022-02-02 22:18:01,67.45,153.6833,-24.21,98,100,1.86
114,Iqaluit,CA,2022-02-02 22:19:41,63.7506,-68.5145,8.33,84,100,8.99
115,Conceicao Da Barra,BR,2022-02-02 22:20:18,-18.5933,-39.7322,78.01,85,86,5.14
116,Katsuura,JP,2022-02-02 22:20:19,35.1333,140.3,40.19,51,30,9.46
117,Beringovskiy,RU,2022-02-02 22:20:19,63.05,179.3167,2.34,79,79,20.11
118,Yar-Sale,RU,2022-02-02 22:20:19,66.8333,70.8333,-1.12,98,100,13.2
119,Bredasdorp,ZA,2022-02-02 22:20:20,-34.5322,20.0403,69.12,73,47,1.14
120,Quatre Cocos,MU,2022-02-02 22:20:20,-20.2078,57.7625,79.09,89,100,32.64
121,Chokurdakh,RU,2022-02-02 22:17:43,70.6333,147.9167,-19.59,97,100,6.93
122,San Rafael,AR,2022-02-02 22:16:48,-34.6177,-68.3301,85.62,34,6,9.06
123,Tabanan,ID,2022-02-02 22:20:21,-8.5413,115.1252,75.65,85,50,3.85
124,Cayenne,GF,2022-02-02 22:20:21,4.9333,-52.3333,80.1,85,75,4.0
125,Leshukonskoye,RU,2022-02-02 22:20:21,64.8989,45.7622,7.56,98,97,2.55
126,Tiarei,PF,2022-02-02 22:20:22,-17.5333,-149.3333,87.82,77,11,19.73
127,Presidencia Roque Saenz Pena,AR,2022-02-02 22:20:22,-26.7852,-60.4388,99.41,18,67,4.65
128,Paamiut,GL,2022-02-02 22:17:14,61.994,-49.6678,7.27,65,100,16.46
129,Lavrentiya,RU,2022-02-02 22:20:22,65.5833,-171.0,0.23,69,0,22.32
130,Luanda,AO,2022-02-02 22:20:23,-8.8368,13.2343,76.24,75,19,10.2
131,Inhambane,MZ,2022-02-02 22:20:23,-23.865,35.3833,76.39,84,14,7.16
132,Dakoro,NE,2022-02-02 22:20:23,14.5106,6.765,64.11,10,5,10.92
133,Half Moon Bay,US,2022-02-02 22:20:24,37.4636,-122.4286,64.72,29,0,4.0
134,Marrakesh,MA,2022-02-02 22:17:36,31.6315,-8.0083,62.67,31,69,2.3
135,Santo Domingo,DO,2022-02-02 22:15:56,18.5001,-69.9886,82.04,74,20,3.0
136,Mopti,ML,2022-02-02 22:21:25,14.6667,-4.0,73.24,13,0,10.11
137,Walvis Bay,NA,2022-02-02 22:21:25,-22.9575,14.5053,69.1,74,2,9.22
138,Coruripe,BR,2022-02-02 22:21:25,-10.1256,-36.1756,80.13,75,14,12.21
139,Namibe,AO,2022-02-02 22:21:26,-15.1961,12.1522,73.0,70,83,10.69
140,Olafsvik,IS,2022-02-02 22:18:23,64.8945,-23.7142,30.33,55,98,6.91
141,Kizukuri,JP,2022-02-02 22:17:57,40.8061,140.3861,29.1,63,93,13.38
142,Clyde River,CA,2022-02-02 22:21:26,70.4692,-68.5914,-16.37,76,100,6.91
143,Pasco,US,2022-02-02 22:21:27,28.292,-82.4165,80.85,46,59,1.99
144,Longyearbyen,SJ,2022-02-02 22:20:20,78.2186,15.6401,15.64,73,0,16.11
145,Faanui,PF,2022-02-02 22:21:27,-16.4833,-151.75,81.01,73,20,20.0
