City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
576,Touros,BR,81.5,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
577,Cap Malheureux,MU,81.09,overcast clouds,-19.9842,57.6142,Pereybere Hotel & Spa
581,Katobu,ID,75.6,overcast clouds,-4.9408,122.5276,La Ode Husein
583,Kuala Terengganu,MY,80.55,scattered clouds,5.3302,103.1408,Hotel Grand Continental Kuala Terengganu (4 Star)
588,Itaueira,BR,89.98,overcast clouds,-7.6033,-43.0256,Pousada e Restaurante Cheiro e Sabor
591,Morros,BR,88.38,overcast clouds,-9.4467,-46.3003,
594,Kahului,US,75.85,clear sky,20.8947,-156.47,Maui Seaside Hotel
597,Pangoa,PE,79.52,moderate rain,-12.1167,-73.0,
608,Waingapu,ID,77.94,scattered clouds,-9.6567,120.2641,Pondok Wisata Elim
612,Apac,UG,78.19,overcast clouds,1.9756,32.5386,Double Duez Apac
615,Antalaha,MG,79.25,overcast clouds,-14.9003,50.2788,Hotel Vitasoa
627,Itarema,BR,82.98,overcast clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
632,Yei,SS,78.44,overcast clouds,4.095,30.6779,City Link Hotel
634,Ahuimanu,US,76.46,clear sky,21.4447,-157.8378,Paradise Bay Resort
635,Presidencia Roque Saenz Pena,AR,80.73,broken clouds,-26.7852,-60.4388,Hotel Gualok
641,Sao Geraldo Do Araguaia,BR,85.44,heavy intensity rain,-6.4006,-48.555,Hotel Por do Sol
645,Meulaboh,ID,76.68,overcast clouds,4.1363,96.1285,Kost Pria
653,Lima,PE,76.39,clear sky,-12.0432,-77.0282,Hotel Kamana
655,Amahai,ID,78.46,overcast clouds,-3.3333,128.9167,HOTEL ISABELA
656,Mabaruma,GY,85.62,few clouds,8.2,-59.7833,Monty Brooms Guest House
657,Gaoual,GN,88.81,clear sky,11.75,-13.2,Hotel koliba
660,Taytay,PH,78.06,few clouds,14.5678,121.1394,Date & Dine Resort
665,Tevaitoa,PF,79.83,light rain,-16.7833,-151.5,Hôtel Raiatea Lodge
669,Ewa Beach,US,76.69,clear sky,21.3156,-158.0072,Base Lodging
671,Pitimbu,BR,86.59,few clouds,-7.4706,-34.8086,Reserva do Abiaí
679,Pemangkat,ID,76.17,light rain,1.1667,108.9667,Ramah Kost KITA
681,Sabang,ID,82.62,broken clouds,5.8933,95.3214,Hotel Citra
